Variable,Value
bat_e_1688,0.0
bat_e_1689,0.0
bat_e_169,0.0
bat_e_1690,0.0
bat_e_1691,0.0
bat_e_1692,0.0
bat_e_1693,0.0
bat_e_1694,0.0
bat_e_1695,0.0
bat_e_1696,0.0
bat_e_1697,0.0
bat_e_1698,0.0
bat_e_1699,0.0
bat_e_17,0.0
bat_e_170,0.0
bat_e_1700,0.0
bat_e_1701,0.0
bat_e_1702,0.0
bat_e_1703,0.0
bat_e_1704,0.0
bat_e_1705,0.0
bat_e_1706,0.0
bat_e_1707,0.0
bat_e_1708,0.0
bat_e_1709,0.0
bat_e_171,0.0
bat_e_1710,0.0
bat_e_1711,0.0
bat_e_1712,0.0
bat_e_1713,0.0
bat_e_1714,0.0
bat_e_1715,0.0
bat_e_1716,0.0
bat_e_1717,0.0
bat_e_1718,0.0
bat_e_1719,0.0
bat_e_172,0.0
bat_e_1720,0.0
bat_e_1721,0.0
bat_e_1722,0.0
bat_e_1723,0.0
bat_e_1724,0.0
bat_e_1725,0.0
bat_e_1726,0.0
bat_e_1727,0.0
bat_e_1728,0.0
bat_e_1729,0.0
bat_e_173,0.0
bat_e_1730,0.0
bat_e_1731,0.0
bat_e_1732,0.0
bat_e_1733,0.0
bat_e_1734,0.0
bat_e_1735,0.0
bat_e_1736,0.0
bat_e_1737,0.0
bat_e_1738,0.0
bat_e_1739,0.0
bat_e_174,0.0
bat_e_1740,0.0
bat_e_1741,0.0
bat_e_1742,0.0
bat_e_1743,0.0
bat_e_1744,0.0
bat_e_1745,0.0
bat_e_1746,0.0
bat_e_1747,0.0
bat_e_1748,0.0
bat_e_1749,0.0
bat_e_175,0.0
bat_e_1750,0.0
bat_e_1751,0.0
bat_e_1752,0.0
bat_e_1753,0.0
bat_e_1754,0.0
bat_e_1755,-2.9247203e-11
bat_e_1756,-2.9247203e-11
bat_e_1757,0.0
bat_e_1758,0.0
bat_e_1759,0.0
bat_e_176,0.0
bat_e_1760,0.0
bat_e_1761,0.0
bat_e_1762,0.0
bat_e_1763,0.0
bat_e_1764,0.0
bat_e_1765,0.0
bat_e_1766,0.0
bat_e_1767,0.0
bat_e_1768,0.0
bat_e_1769,0.0
bat_e_177,0.0
bat_e_1770,0.0
bat_e_1771,0.0
bat_e_1772,0.0
bat_e_1773,0.0
bat_e_1774,0.0
bat_e_1775,0.0
bat_e_1776,0.0
bat_e_1777,0.0
bat_e_1778,0.0
bat_e_1779,0.0
bat_e_178,0.0
bat_e_1780,-2.9431759e-11
bat_e_1781,0.0
bat_e_1782,0.0
bat_e_1783,0.0
bat_e_1784,0.0
bat_e_1785,0.0
bat_e_1786,0.0
bat_e_1787,0.0
bat_e_1788,0.0
bat_e_1789,0.0
bat_e_179,0.0
bat_e_1790,0.0
bat_e_1791,0.0
bat_e_1792,0.0
bat_e_1793,0.0
bat_e_1794,0.0
bat_e_1795,0.0
bat_e_1796,0.0
bat_e_1797,0.0
bat_e_1798,0.0
bat_e_1799,0.0
bat_e_18,0.0
bat_e_180,0.0
bat_e_1800,0.0
bat_e_1801,0.0
bat_e_1802,0.0
bat_e_1803,0.0
bat_e_1804,0.0
bat_e_1805,0.0
bat_e_1806,0.0
bat_e_1807,0.0
bat_e_1808,0.0
bat_e_1809,0.0
bat_e_181,0.0
bat_e_1810,0.0
bat_e_1811,0.0
bat_e_1812,0.0
bat_e_1813,0.0
bat_e_1814,0.0
bat_e_1815,0.0
bat_e_1816,0.0
bat_e_1817,0.0
bat_e_1818,0.0
bat_e_1819,0.0
bat_e_182,0.0
bat_e_1820,0.0
bat_e_1821,0.0
bat_e_1822,0.0
bat_e_1823,0.0
bat_e_1824,0.0
bat_e_1825,0.0
bat_e_1826,0.0
bat_e_1827,0.0
bat_e_1828,0.0
bat_e_1829,0.0
bat_e_183,0.0
bat_e_1830,0.0
bat_e_1831,0.0
bat_e_1832,0.0
bat_e_1833,0.0
bat_e_1834,0.0
bat_e_1835,0.0
bat_e_1836,0.0
bat_e_1837,0.0
bat_e_1838,0.0
bat_e_1839,0.0
bat_e_184,0.0
bat_e_1840,0.0
bat_e_1841,0.0
bat_e_1842,0.0
bat_e_1843,0.0
bat_e_1844,0.0
bat_e_1845,0.0
bat_e_1846,0.0
bat_e_1847,0.0
bat_e_1848,0.0
bat_e_1849,0.0
bat_e_185,0.0
bat_e_1850,0.0
bat_e_1851,0.0
bat_e_1852,0.0
bat_e_1853,0.0
bat_e_1854,0.0
bat_e_1855,0.0
bat_e_1856,0.0
bat_e_1857,0.0
bat_e_1858,0.0
bat_e_1859,0.0
bat_e_186,0.0
bat_e_1860,0.0
bat_e_1861,0.0
bat_e_1862,0.0
bat_e_1863,0.0
bat_e_1864,0.0
bat_e_1865,0.0
bat_e_1866,0.0
bat_e_1867,0.0
bat_e_1868,0.0
bat_e_1869,0.0
bat_e_187,0.0
bat_e_1870,0.0
bat_e_1871,0.0
bat_e_1872,0.0
bat_e_1873,0.0
bat_e_1874,0.0
bat_e_1875,0.0
bat_e_1876,0.0
bat_e_1877,0.0
bat_e_1878,0.0
bat_e_1879,0.0
bat_e_188,0.0
bat_e_1880,0.0
bat_e_1881,0.0
bat_e_1882,0.0
bat_e_1883,0.0
bat_e_1884,0.0
bat_e_1885,0.0
bat_e_1886,0.0
bat_e_1887,0.0
bat_e_1888,0.0
bat_e_1889,0.0
bat_e_189,0.0
bat_e_1890,0.0
bat_e_1891,0.0
bat_e_1892,0.0
bat_e_1893,0.0
bat_e_1894,0.0
bat_e_1895,0.0
bat_e_1896,0.0
bat_e_1897,0.0
bat_e_1898,0.0
bat_e_1899,0.0
bat_e_19,0.0
bat_e_190,0.0
bat_e_1900,0.0
bat_e_1901,0.0
bat_e_1902,0.0
bat_e_1903,0.0
bat_e_1904,0.0
bat_e_1905,0.0
bat_e_1906,0.0
bat_e_1907,0.0
bat_e_1908,0.0
bat_e_1909,0.0
bat_e_191,0.0
bat_e_1910,0.0
bat_e_1911,0.0
bat_e_1912,0.0
bat_e_1913,0.0
bat_e_1914,0.0
bat_e_1915,0.0
bat_e_1916,0.0
bat_e_1917,0.0
bat_e_1918,0.0
bat_e_1919,0.0
bat_e_192,0.0
bat_e_1920,0.0
bat_e_1921,0.0
bat_e_1922,0.0
bat_e_1923,0.0
bat_e_1924,0.0
bat_e_1925,0.0
bat_e_1926,0.0
bat_e_1927,0.0
bat_e_1928,0.0
bat_e_1929,0.0
bat_e_193,0.0
bat_e_1930,0.0
bat_e_1931,0.0
bat_e_1932,0.0
bat_e_1933,0.0
bat_e_1934,0.0
bat_e_1935,0.0
bat_e_1936,0.0
bat_e_1937,0.0
bat_e_1938,0.0
bat_e_1939,0.0
bat_e_194,0.0
bat_e_1940,0.0
bat_e_1941,0.0
bat_e_1942,0.0
bat_e_1943,0.0
bat_e_1944,0.0
bat_e_1945,0.0
bat_e_1946,0.0
bat_e_1947,0.0
bat_e_1948,0.0
bat_e_1949,0.0
bat_e_195,0.0
bat_e_1950,0.0
bat_e_1951,0.0
bat_e_1952,0.0
bat_e_1953,0.0
bat_e_1954,0.0
bat_e_1955,0.0
bat_e_1956,0.0
bat_e_1957,0.0
bat_e_1958,0.0
bat_e_1959,0.0
bat_e_196,0.0
bat_e_1960,0.0
bat_e_1961,0.0
bat_e_1962,0.0
bat_e_1963,0.0
bat_e_1964,0.0
bat_e_1965,0.0
bat_e_1966,0.0
bat_e_1967,0.0
bat_e_1968,0.0
bat_e_1969,0.0
bat_e_197,0.0
bat_e_1970,0.0
bat_e_1971,0.0
bat_e_1972,-9.803697e-11
bat_e_1973,-9.803697e-11
bat_e_1974,0.0
bat_e_1975,0.0
bat_e_1976,0.0
bat_e_1977,0.0
bat_e_1978,0.0
bat_e_1979,0.0
bat_e_198,0.0
bat_e_1980,0.0
bat_e_1981,0.0
bat_e_1982,0.0
bat_e_1983,0.0
bat_e_1984,0.0
bat_e_1985,0.0
bat_e_1986,0.0
bat_e_1987,0.0
bat_e_1988,0.0
bat_e_1989,0.0
bat_e_199,0.0
bat_e_1990,0.0
bat_e_1991,0.0
bat_e_1992,0.0
